execution_order,task_id,group,replicate,planned_run_dir
1,task-list-page,baseline,1,runs/task-list-page/baseline/rep-01/
2,task-list-page,full-prompt,1,runs/task-list-page/full-prompt/rep-01/
3,task-list-page,experience-skill,1,runs/task-list-page/experience-skill/rep-01/
4,task-list-page,full-prompt,2,runs/task-list-page/full-prompt/rep-02/
5,task-list-page,baseline,3,runs/task-list-page/baseline/rep-03/
6,task-list-page,experience-skill,2,runs/task-list-page/experience-skill/rep-02/
7,task-list-page,baseline,2,runs/task-list-page/baseline/rep-02/
8,task-list-page,experience-skill,3,runs/task-list-page/experience-skill/rep-03/
9,task-list-page,full-prompt,3,runs/task-list-page/full-prompt/rep-03/
10,task-async-form,baseline,1,runs/task-async-form/baseline/rep-01/
11,task-async-form,experience-skill,1,runs/task-async-form/experience-skill/rep-01/
12,task-async-form,baseline,3,runs/task-async-form/baseline/rep-03/
13,task-async-form,full-prompt,2,runs/task-async-form/full-prompt/rep-02/
14,task-async-form,experience-skill,3,runs/task-async-form/experience-skill/rep-03/
15,task-async-form,full-prompt,1,runs/task-async-form/full-prompt/rep-01/
16,task-async-form,experience-skill,2,runs/task-async-form/experience-skill/rep-02/
17,task-async-form,full-prompt,3,runs/task-async-form/full-prompt/rep-03/
18,task-async-form,baseline,2,runs/task-async-form/baseline/rep-02/
19,task-responsive-dashboard,experience-skill,3,runs/task-responsive-dashboard/experience-skill/rep-03/
20,task-responsive-dashboard,baseline,1,runs/task-responsive-dashboard/baseline/rep-01/
21,task-responsive-dashboard,full-prompt,1,runs/task-responsive-dashboard/full-prompt/rep-01/
22,task-responsive-dashboard,experience-skill,2,runs/task-responsive-dashboard/experience-skill/rep-02/
23,task-responsive-dashboard,baseline,2,runs/task-responsive-dashboard/baseline/rep-02/
24,task-responsive-dashboard,experience-skill,1,runs/task-responsive-dashboard/experience-skill/rep-01/
25,task-responsive-dashboard,full-prompt,2,runs/task-responsive-dashboard/full-prompt/rep-02/
26,task-responsive-dashboard,full-prompt,3,runs/task-responsive-dashboard/full-prompt/rep-03/
27,task-responsive-dashboard,baseline,3,runs/task-responsive-dashboard/baseline/rep-03/
