run_id,execution_order,task_id,group,replicate,base_requirement_path,intervention_path,model,temperature,reasoning_effort,context_length_estimate,injected_experience_count,output_file_count,start_time,end_time,duration_minutes,status,failure_reason,retry_of,execution_quality_verdict,operator,notes,protocol_version,planned_run_dir,build_status,validation_pass_rate,validation_checks_passed,validation_checks_applicable
async-baseline-r01,1,task-async-form,baseline,1,experiments/tasks/task-async-form.md,experiments/interventions/baseline.md,platform-controlled,platform-controlled,platform-controlled,,0,19,,,,valid,,,VALID,agent-batch,parallel subagent,,,,,,
async-baseline-r02,2,task-async-form,baseline,2,experiments/tasks/task-async-form.md,experiments/interventions/baseline.md,platform-controlled,platform-controlled,platform-controlled,,0,11,,,,valid,,,VALID,agent-batch,,,,,,,
async-baseline-r03,3,task-async-form,baseline,3,experiments/tasks/task-async-form.md,experiments/interventions/baseline.md,platform-controlled,platform-controlled,platform-controlled,,0,14,,,,valid,,,VALID,agent-batch,,,,,,,
async-skill-r01,4,task-async-form,experience-skill,1,experiments/tasks/task-async-form.md,experiments/interventions/experience-skill.md,platform-controlled,platform-controlled,platform-controlled,,5,18,,,,valid,,,VALID,agent-batch,,,,,,,
async-skill-r02,5,task-async-form,experience-skill,2,experiments/tasks/task-async-form.md,experiments/interventions/experience-skill.md,platform-controlled,platform-controlled,platform-controlled,,5,19,,,,valid,,,VALID,agent-batch,,,,,,,
async-skill-r03,6,task-async-form,experience-skill,3,experiments/tasks/task-async-form.md,experiments/interventions/experience-skill.md,platform-controlled,platform-controlled,platform-controlled,,5,18,,,,valid,,,VALID_WITH_LIMITATIONS,agent-batch,metadata path corrected post-run,,,,,,
async-full-r01,7,task-async-form,full-prompt,1,experiments/tasks/task-async-form.md,experiments/interventions/full-prompt.md,platform-controlled,platform-controlled,platform-controlled,,18,23,,,,valid,,,VALID,agent-batch,,,,,,,
async-full-r02,8,task-async-form,full-prompt,2,experiments/tasks/task-async-form.md,experiments/interventions/full-prompt.md,platform-controlled,platform-controlled,platform-controlled,,18,16,,,,valid,,,VALID_WITH_LIMITATIONS,agent-batch,added missing src/index.css for build,,,,,,
async-full-r03,9,task-async-form,full-prompt,3,experiments/tasks/task-async-form.md,experiments/interventions/full-prompt.md,platform-controlled,platform-controlled,platform-controlled,,18,16,,,,valid,,,VALID,agent-batch,,,,,,,
list-skill-r01,101,task-list-page,experience-skill,1,experiments/tasks/task-list-page.md,experiments/interventions/experience-skill.md,,,,,,,,,,pending,,,,,Phase 2 scaffold; awaiting Phase 3 execution,v2,experiments/runs/task-list-page/experience-skill/rep-01,,,,
list-base-r01,102,task-list-page,baseline,1,experiments/tasks/task-list-page.md,experiments/interventions/baseline.md,,,,,,,,,,pending,,,,,Phase 2 scaffold; awaiting Phase 3 execution,v2,experiments/runs/task-list-page/baseline/rep-01,,,,
list-super-r02,103,task-list-page,superpowers,2,experiments/tasks/task-list-page.md,experiments/interventions/superpowers.md,,,,,,,,,,pending,,,,,Phase 2 scaffold; awaiting Phase 3 execution,v2,experiments/runs/task-list-page/superpowers/rep-02,,,,
list-full-r01,104,task-list-page,full-prompt,1,experiments/tasks/task-list-page.md,experiments/interventions/full-prompt.md,,,,,,,,,,pending,,,,,Phase 2 scaffold; awaiting Phase 3 execution,v2,experiments/runs/task-list-page/full-prompt/rep-01,,,,
list-base-r02,105,task-list-page,baseline,2,experiments/tasks/task-list-page.md,experiments/interventions/baseline.md,,,,,,,,,,pending,,,,,Phase 2 scaffold; awaiting Phase 3 execution,v2,experiments/runs/task-list-page/baseline/rep-02,,,,
