run_id,anon_id,reviewer_id,reviewer_type,rubric_total,functional,productization,code,review_json_path
list-skill-r01,anon-001,human-reviewer-v2,human,75.67,20,30,25.67,experiments/anonymous-submissions/anon-001/reviews/human-reviewer-v2-full-rubric-review.json
list-skill-r01,anon-001,llm-reviewer-v2,llm,91.67,20,39,32.67,experiments/anonymous-submissions/anon-001/reviews/llm-reviewer-v2-full-rubric-review.json
list-base-r01,anon-002,human-reviewer-v2,human,62.67,20,24,18.67,experiments/anonymous-submissions/anon-002/reviews/human-reviewer-v2-full-rubric-review.json
list-base-r01,anon-002,llm-reviewer-v2,llm,68,20,27,21,experiments/anonymous-submissions/anon-002/reviews/llm-reviewer-v2-full-rubric-review.json
list-super-r02,anon-003,human-reviewer-v2,human,75,20,27,28,experiments/anonymous-submissions/anon-003/reviews/human-reviewer-v2-full-rubric-review.json
list-super-r02,anon-003,llm-reviewer-v2,llm,88.67,20,36,32.67,experiments/anonymous-submissions/anon-003/reviews/llm-reviewer-v2-full-rubric-review.json
list-full-r01,anon-004,human-reviewer-v2,human,70.45,17.78,27,25.67,experiments/anonymous-submissions/anon-004/reviews/human-reviewer-v2-full-rubric-review.json
list-full-r01,anon-004,llm-reviewer-v2,llm,86.45,17.78,36,32.67,experiments/anonymous-submissions/anon-004/reviews/llm-reviewer-v2-full-rubric-review.json
list-base-r02,anon-005,human-reviewer-v2,human,68,20,27,21,experiments/anonymous-submissions/anon-005/reviews/human-reviewer-v2-full-rubric-review.json
list-base-r02,anon-005,llm-reviewer-v2,llm,68,20,27,21,experiments/anonymous-submissions/anon-005/reviews/llm-reviewer-v2-full-rubric-review.json
list-super-r01,anon-006,human-reviewer-v2,human,62.67,20,24,18.67,experiments/anonymous-submissions/anon-006/reviews/human-reviewer-v2-full-rubric-review.json
list-super-r01,anon-006,llm-reviewer-v2,llm,62.67,20,24,18.67,experiments/anonymous-submissions/anon-006/reviews/llm-reviewer-v2-full-rubric-review.json
list-full-r02,anon-007,human-reviewer-v2,human,87,20,39,28,experiments/anonymous-submissions/anon-007/reviews/human-reviewer-v2-full-rubric-review.json
list-full-r02,anon-007,llm-reviewer-v2,llm,87,20,39,28,experiments/anonymous-submissions/anon-007/reviews/llm-reviewer-v2-full-rubric-review.json
list-skill-r02,anon-008,human-reviewer-v2,human,75,20,27,28,experiments/anonymous-submissions/anon-008/reviews/human-reviewer-v2-full-rubric-review.json
list-skill-r02,anon-008,llm-reviewer-v2,llm,75,20,27,28,experiments/anonymous-submissions/anon-008/reviews/llm-reviewer-v2-full-rubric-review.json
dash-full-r02,anon-009,human-reviewer-v2,human,84.7,17.78,41.25,25.67,experiments/anonymous-submissions/anon-009/reviews/human-reviewer-v2-full-rubric-review.json
dash-full-r02,anon-009,llm-reviewer-v2,llm,84.7,17.78,41.25,25.67,experiments/anonymous-submissions/anon-009/reviews/llm-reviewer-v2-full-rubric-review.json
dash-super-r01,anon-010,human-reviewer-v2,human,56.83,13.33,22.5,21,experiments/anonymous-submissions/anon-010/reviews/human-reviewer-v2-full-rubric-review.json
dash-super-r01,anon-010,llm-reviewer-v2,llm,56.83,13.33,22.5,21,experiments/anonymous-submissions/anon-010/reviews/llm-reviewer-v2-full-rubric-review.json
dash-skill-r01,anon-011,human-reviewer-v2,human,58.25,13.33,26.25,18.67,experiments/anonymous-submissions/anon-011/reviews/human-reviewer-v2-full-rubric-review.json
dash-skill-r01,anon-011,llm-reviewer-v2,llm,58.25,13.33,26.25,18.67,experiments/anonymous-submissions/anon-011/reviews/llm-reviewer-v2-full-rubric-review.json
dash-base-r02,anon-012,human-reviewer-v2,human,49.94,11.11,22.5,16.33,experiments/anonymous-submissions/anon-012/reviews/human-reviewer-v2-full-rubric-review.json
dash-base-r02,anon-012,llm-reviewer-v2,llm,49.94,11.11,22.5,16.33,experiments/anonymous-submissions/anon-012/reviews/llm-reviewer-v2-full-rubric-review.json
dash-full-r01,anon-013,human-reviewer-v2,human,78.73,15.56,37.5,25.67,experiments/anonymous-submissions/anon-013/reviews/human-reviewer-v2-full-rubric-review.json
dash-full-r01,anon-013,llm-reviewer-v2,llm,80.95,17.78,37.5,25.67,experiments/anonymous-submissions/anon-013/reviews/llm-reviewer-v2-full-rubric-review.json
dash-base-r01,anon-014,human-reviewer-v2,human,48.41,13.33,18.75,16.33,experiments/anonymous-submissions/anon-014/reviews/human-reviewer-v2-full-rubric-review.json
dash-base-r01,anon-014,llm-reviewer-v2,llm,48.41,13.33,18.75,16.33,experiments/anonymous-submissions/anon-014/reviews/llm-reviewer-v2-full-rubric-review.json
dash-skill-r02,anon-015,human-reviewer-v2,human,62.81,15.56,26.25,21,experiments/anonymous-submissions/anon-015/reviews/human-reviewer-v2-full-rubric-review.json
dash-skill-r02,anon-015,llm-reviewer-v2,llm,62.81,15.56,26.25,21,experiments/anonymous-submissions/anon-015/reviews/llm-reviewer-v2-full-rubric-review.json
dash-super-r02,anon-016,human-reviewer-v2,human,59.06,15.56,22.5,21,experiments/anonymous-submissions/anon-016/reviews/human-reviewer-v2-full-rubric-review.json
dash-super-r02,anon-016,llm-reviewer-v2,llm,59.06,15.56,22.5,21,experiments/anonymous-submissions/anon-016/reviews/llm-reviewer-v2-full-rubric-review.json
